date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2007-01-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.24,0.2755
2007-01-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,AZN,0.29,0.3329
2007-01-15,,,National Average,,,milk and dairy,Milk (non-pasteurized),L,actual,Retail,AZN,0.4,0.4592
2007-01-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,AZN,0.56,0.6429
2007-02-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.3,0.345
2007-02-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,AZN,0.31,0.3565
2007-02-15,,,National Average,,,milk and dairy,Milk (non-pasteurized),L,actual,Retail,AZN,0.41,0.4714
2007-02-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,AZN,0.67,0.7704
2007-03-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.29,0.3341
2007-03-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,AZN,0.32,0.3687
2007-03-15,,,National Average,,,milk and dairy,Milk (non-pasteurized),L,actual,Retail,AZN,0.41,0.4723
2007-03-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,AZN,0.74,0.8525
2007-04-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.44,0.5081
2007-04-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,AZN,0.32,0.3695
2007-04-15,,,National Average,,,milk and dairy,Milk (non-pasteurized),L,actual,Retail,AZN,0.39,0.4504
2007-04-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,AZN,0.73,0.843
2007-05-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.47,0.5455
2007-05-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,AZN,0.33,0.383
2007-05-15,,,National Average,,,milk and dairy,Milk (non-pasteurized),L,actual,Retail,AZN,0.38,0.441
2007-05-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,AZN,0.72,0.8356
2007-06-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.35,0.4084
2007-06-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,AZN,0.33,0.385
2007-06-15,,,National Average,,,milk and dairy,Milk (non-pasteurized),L,actual,Retail,AZN,0.37,0.4317
2007-06-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,AZN,0.72,0.84
2007-07-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.35,0.4094
2007-07-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,AZN,0.33,0.386
2007-07-15,,,National Average,,,milk and dairy,Milk (non-pasteurized),L,actual,Retail,AZN,0.46,0.5381
2007-07-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,AZN,0.73,0.8539
2007-08-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.35,0.4102
2007-08-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,AZN,0.33,0.3867
2007-08-15,,,National Average,,,milk and dairy,Milk (non-pasteurized),L,actual,Retail,AZN,0.46,0.5391
2007-08-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,AZN,0.73,0.8555
2007-09-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,AZN,0.36,0.4226
