date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2008-01-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,BOB,311.25,41.6282
2008-01-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,Wheat flour (local),46 KG,actual,Wholesale,BOB,185.0,24.7429
2008-01-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",46 KG,actual,Wholesale,BOB,101.51,13.5765
2008-01-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,BOB,312.95,41.8556
2008-01-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,Wheat flour (local),46 KG,actual,Wholesale,BOB,185.05,24.7496
2008-01-15,La Paz,Murillo,La Paz City,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",46 KG,actual,Wholesale,BOB,551.37,73.7431
2008-02-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,"Potatoes (Irish, imilla)",46 KG,actual,Wholesale,BOB,98.74,13.3189
2008-02-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,BOB,319.35,43.0768
2008-02-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,Wheat flour (imported),46 KG,actual,Wholesale,BOB,199.8,26.9508
2008-02-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,Wheat flour (local),46 KG,actual,Wholesale,BOB,197.39,26.6258
2008-02-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",46 KG,actual,Wholesale,BOB,101.07,13.6332
2008-02-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,BOB,322.0,43.4343
2008-02-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,Wheat flour (imported),46 KG,actual,Wholesale,BOB,176.19,23.7661
2008-02-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,Wheat flour (local),46 KG,actual,Wholesale,BOB,194.88,26.2872
2008-02-15,La Paz,Murillo,La Paz City,-16.5,-68.15,"meat, fish and eggs","Meat (chicken, whole)",46 KG,actual,Wholesale,BOB,664.42,89.623
2008-03-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,"Potatoes (Irish, imilla)",46 KG,actual,Wholesale,BOB,100.27,13.3757
2008-03-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,BOB,308.2,41.1128
2008-03-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,Wheat flour (local),46 KG,actual,Wholesale,BOB,219.95,29.3405
2008-03-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,"meat, fish and eggs","Meat (chicken, whole)",46 KG,actual,Wholesale,BOB,497.72,66.3941
2008-03-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,"Potatoes (Irish, imilla)",46 KG,actual,Wholesale,BOB,99.82,13.3156
2008-03-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,Wheat flour (imported),46 KG,actual,Wholesale,BOB,189.65,25.2986
2008-03-15,La Paz,Murillo,La Paz City,-16.5,-68.15,cereals and tubers,Wheat flour (local),46 KG,actual,Wholesale,BOB,211.3,28.1867
2008-04-15,Cochabamba,Cercado,Cochabamba City,-17.389498,-66.156797,cereals and tubers,"Potatoes (Irish, imilla)",46 KG,actual,Wholesale,BOB,104.87,14.3156
