date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2004-01-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,219.08,0.4204
2004-01-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Rice,KG,actual,Retail,XAF,507.01,0.973
2004-01-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,474.24,0.9101
2004-02-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,236.06,0.4463
2004-02-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,384.48,0.7269
2004-03-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Maize,KG,actual,Retail,XAF,349.79,0.6552
2004-03-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,412.7,0.773
2004-04-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,231.03,0.4225
2004-04-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Maize,KG,actual,Retail,XAF,349.79,0.6397
2004-04-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Rice,KG,actual,Retail,XAF,492.89,0.9014
2004-04-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,440.89,0.8063
2004-05-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,247.7,0.4557
2004-05-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Maize,KG,actual,Retail,XAF,322.3,0.5929
2004-05-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,442.66,0.8143
2004-06-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,242.69,0.4506
2004-06-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Millet,KG,actual,Retail,XAF,420.15,0.7801
2004-06-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Rice,KG,actual,Retail,XAF,515.69,0.9575
2004-06-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,454.21,0.8434
2004-07-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,284.31,0.5359
2004-07-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Maize,KG,actual,Retail,XAF,423.72,0.7987
2004-07-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Millet,KG,actual,Retail,XAF,421.8,0.7951
2004-07-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Rice,KG,actual,Retail,XAF,563.57,1.0623
2004-07-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,487.83,0.9195
2004-08-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,272.65,0.5019
2004-08-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Maize,KG,actual,Retail,XAF,378.14,0.696
2004-08-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Millet,KG,actual,Retail,XAF,390.06,0.718
2004-08-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Rice,KG,actual,Retail,XAF,547.88,1.0084
2004-08-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,447.26,0.8232
2004-09-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,274.93,0.5101
2004-09-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Millet,KG,actual,Retail,XAF,390.06,0.7237
2004-09-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Wheat flour,KG,actual,Retail,XAF,476.58,0.8842
2004-10-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,263.53,0.5019
2004-10-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Maize,KG,actual,Retail,XAF,354.81,0.6757
2004-10-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Rice,KG,actual,Retail,XAF,548.55,1.0447
2004-11-15,Bangui,Bangui,Bangui,4.366667,18.583333,cereals and tubers,Cassava (cossette),KG,actual,Retail,XAF,253.49,0.5007
