date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2007-09-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,344.43,344.43
2007-09-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,703.88,703.885
2007-09-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,996.83,996.825
2007-10-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,344.21,344.21
2007-10-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,703.43,703.432
2007-10-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,996.19,996.186
2007-11-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,347.11,347.1125
2007-11-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,709.37,709.3675
2007-11-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1004.59,1004.5875
2007-12-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,357.21,357.2133
2007-12-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,730.01,730.0067
2007-12-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1033.82,1033.82
2008-01-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,358.5,358.495
2008-01-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,766.5,766.495
2008-01-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1037.54,1037.535
2008-02-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,359.41,359.4075
2008-02-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,821.92,821.9225
2008-02-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1125.66,1125.6575
2008-03-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,359.91,359.9075
2008-03-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,841.21,841.205
2008-03-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1301.63,1301.6325
2008-04-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,360.81,360.8075
2008-04-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,793.85,793.8525
2008-04-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1305.08,1305.0775
2008-05-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,348.48,348.48
2008-05-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,766.53,766.5333
2008-05-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1200.32,1200.3233
2008-06-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,342.99,342.992
2008-06-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,785.56,785.562
2008-06-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1151.68,1151.678
2008-07-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,331.81,331.805
2008-07-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,718.47,718.47
2008-07-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1368.3,1368.3
2008-08-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,322.13,322.1325
2008-08-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,786.38,786.385
2008-08-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1607.56,1607.5625
2008-09-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,392.93,392.932
2008-09-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,881.67,881.666
2008-09-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1871.83,1871.834
2008-10-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,371.79,371.785
2008-10-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,978.03,978.0275
2008-10-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1553.6,1553.595
2008-11-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,371.42,371.42
2008-11-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,985.87,985.865
2008-11-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1704.84,1704.84
2008-12-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,499.99,499.9933
2008-12-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1047.0,1047.0033
2008-12-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1657.59,1657.59
2009-01-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,476.25,476.25
2009-01-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1086.87,1086.865
2009-01-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1837.48,1837.485
2009-02-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,398.93,398.9325
2009-02-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1055.17,1055.175
2009-02-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1689.84,1689.84
2009-03-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,467.82,467.8175
2009-03-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,995.75,995.752
2009-03-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1934.76,1934.76
2009-04-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,481.1,481.0967
2009-04-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,952.98,952.9833
2009-04-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1786.58,1786.5767
2009-05-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,475.51,475.51
2009-05-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,925.46,925.455
2009-05-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1578.91,1578.915
2009-06-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,515.55,515.55
2009-06-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,940.74,940.736
2009-06-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1610.9,1610.896
2009-07-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,492.72,492.7225
2009-07-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,968.67,968.67
2009-07-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1572.46,1572.4575
2009-08-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,508.67,508.672
2009-08-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,960.27,960.27
2009-08-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1574.8,1574.796
2009-09-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,509.82,509.8225
2009-09-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1021.08,1021.0825
2009-09-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1584.42,1584.4175
2009-10-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,493.81,493.805
2009-10-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1029.39,1029.3875
2009-10-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1584.14,1584.14
2009-11-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,626.24,626.2375
2009-11-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1051.12,1051.125
2009-11-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1651.83,1651.8325
2009-12-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,665.38,665.375
2009-12-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1050.44,1050.445
2009-12-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1656.47,1656.475
2010-01-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,528.39,528.39
2010-01-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1081.92,1081.92
2010-01-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1553.82,1553.82
2010-02-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,588.08,588.075
2010-02-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1115.74,1115.745
2010-02-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1608.76,1608.76
2010-03-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,634.16,634.158
2010-03-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1142.89,1142.89
2010-03-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1675.7,1675.698
2010-04-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,680.18,680.1825
2010-04-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1192.81,1192.81
2010-04-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1697.34,1697.335
2010-05-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,561.03,561.028
2010-05-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1164.57,1164.568
2010-05-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1683.81,1683.81
2010-06-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,611.63,611.63
2010-06-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1153.65,1153.6475
2010-06-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1596.9,1596.905
2010-07-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,645.5,645.505
2010-07-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1169.6,1169.595
2010-07-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1606.34,1606.335
2010-08-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,695.45,695.454
2010-08-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1203.67,1203.668
2010-08-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1679.87,1679.874
2010-09-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,680.69,680.6875
2010-09-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1209.01,1209.01
2010-09-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1707.31,1707.31
2010-10-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,662.45,662.4475
2010-10-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1211.56,1211.5575
2010-10-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1627.99,1627.995
2010-11-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,673.56,673.562
2010-11-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1333.9,1333.898
2010-11-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1684.36,1684.36
2010-12-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,780.21,780.21
2010-12-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1439.66,1439.665
2010-12-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1284.58,1284.5833
2011-01-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,723.3,723.3
2011-01-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1445.56,1445.56
2011-01-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1140.33,1140.325
2011-02-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,770.17,770.1667
2011-02-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1450.31,1450.3067
2011-02-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1143.91,1143.9133
2011-03-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,577.58,577.5775
2011-03-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1451.86,1451.8575
2011-03-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1514.17,1514.175
2011-04-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,578.06,578.0567
2011-04-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1453.06,1453.0633
2011-04-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1528.23,1528.23
2011-05-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,685.15,685.148
2011-05-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1445.32,1445.322
2011-05-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1585.24,1585.24
2011-06-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,707.74,707.735
2011-06-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1436.96,1436.965
2011-06-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1495.32,1495.32
2011-07-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,765.66,765.665
2011-07-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1439.18,1439.18
2011-07-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1478.39,1478.39
2011-08-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,877.91,877.914
2011-08-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1436.25,1436.254
2011-08-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1389.32,1389.324
2011-09-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,914.71,914.7125
2011-09-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1423.79,1423.785
2011-09-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1375.65,1375.6525
2011-10-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,890.47,890.472
2011-10-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1407.54,1407.538
2011-10-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1398.78,1398.778
2011-11-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,822.01,822.0125
2011-11-15,,,National Average,,,cereals and tubers,Rice (milled 80-20),MT,actual,Wholesale,USD,1422.26,1422.26
2011-11-15,,,National Average,,,pulses and nuts,Beans (black),MT,actual,Wholesale,USD,1326.34,1326.335
2011-12-15,,,National Average,,,cereals and tubers,Maize (white),MT,actual,Wholesale,USD,815.5,815.5
