date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2005-01-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Rice,50 KG,actual,Wholesale,DJF,6200.0,34.8861
2005-01-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Rice (Belem),50 KG,actual,Wholesale,DJF,3700.0,20.8191
2005-01-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Wheat flour,50 KG,actual,Wholesale,DJF,3700.0,20.8191
2005-02-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Rice,50 KG,actual,Wholesale,DJF,6200.0,35.6322
2005-02-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,"Rice (basmati, broken)",50 KG,actual,Wholesale,DJF,5700.0,32.7586
2005-03-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Rice,50 KG,actual,Wholesale,DJF,6200.0,35.9837
2005-03-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Rice (Belem),50 KG,actual,Wholesale,DJF,3600.0,20.8938
2005-03-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,"Rice (basmati, broken)",50 KG,actual,Wholesale,DJF,5500.0,31.9211
2005-03-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Wheat flour,50 KG,actual,Wholesale,DJF,3600.0,20.8938
2005-04-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Rice,50 KG,actual,Wholesale,DJF,6200.0,35.4387
2005-04-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Rice (Belem),50 KG,actual,Wholesale,DJF,3600.0,20.5773
2005-04-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,"Rice (basmati, broken)",50 KG,actual,Wholesale,DJF,5500.0,31.4376
2005-04-15,Djibouti,Boulhoas 2eme,Djibouti,11.5806,43.1425,cereals and tubers,Wheat flour,50 KG,actual,Wholesale,DJF,3600.0,20.5773
