date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,cereals and tubers,Bread,Unit,actual,Retail,DZD,10.0,0.1015
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,cereals and tubers,Pasta,500 G,actual,Retail,DZD,60.0,0.6093
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,cereals and tubers,Potatoes,KG,actual,Retail,DZD,80.0,0.8123
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,cereals and tubers,Rice,KG,actual,Retail,DZD,90.0,0.9139
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,DZD,300.0,3.0463
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,"meat, fish and eggs",Fish (canned),125 G,actual,Retail,DZD,70.0,0.7108
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,DZD,277.0,2.8128
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,milk and dairy,Cheese (dry),Unit,actual,Retail,DZD,200.0,2.0309
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,miscellaneous food,Tea,KG,actual,Retail,DZD,400.0,4.0617
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,non-food,Fuel (diesel),L,actual,Retail,DZD,13.0,0.132
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,non-food,Fuel (petrol-gasoline),L,actual,Retail,DZD,22.0,0.2234
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,oil and fats,Oil,L,actual,Retail,DZD,120.0,1.2185
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,pulses and nuts,Lentils,KG,actual,Retail,DZD,160.0,1.6247
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,vegetables and fruits,Apples,KG,actual,Retail,DZD,140.0,1.4216
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,vegetables and fruits,Bananas,KG,actual,Retail,DZD,180.0,1.8278
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,vegetables and fruits,Carrots,KG,actual,Retail,DZD,62.0,0.6296
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,vegetables and fruits,Onions,KG,actual,Retail,DZD,88.0,0.8936
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,vegetables and fruits,Oranges,KG,actual,Retail,DZD,140.0,1.4216
2015-04-15,Alger,Hydra,Algiers,36.752887,3.04204800000002,vegetables and fruits,Tomatoes,KG,actual,Retail,DZD,90.0,0.9139
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,cereals and tubers,Bread,Unit,actual,Retail,DZD,10.0,0.1015
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,cereals and tubers,Pasta,500 G,actual,Retail,DZD,40.0,0.4062
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,cereals and tubers,Potatoes,KG,actual,Retail,DZD,140.0,1.4216
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,cereals and tubers,Rice,KG,actual,Retail,DZD,100.0,1.0154
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,DZD,350.0,3.554
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,"meat, fish and eggs",Fish (canned),125 G,actual,Retail,DZD,80.0,0.8123
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,"meat, fish and eggs",Meat (camel),KG,actual,Retail,DZD,600.0,6.0926
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,DZD,400.0,4.0617
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,milk and dairy,Cheese (dry),Unit,actual,Retail,DZD,220.0,2.234
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,milk and dairy,Milk,L,actual,Retail,DZD,100.0,1.0154
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,milk and dairy,Milk (camel),L,actual,Retail,DZD,150.0,1.5232
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,miscellaneous food,Sugar,KG,actual,Retail,DZD,100.0,1.0154
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,miscellaneous food,Tea (sahm),Packet,actual,Retail,DZD,150.0,1.5232
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,non-food,Fuel (diesel),L,actual,Retail,DZD,50.0,0.5077
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,non-food,Fuel (petrol-gasoline),L,actual,Retail,DZD,50.0,0.5077
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,oil and fats,Oil,L,actual,Retail,DZD,150.0,1.5232
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,pulses and nuts,Beans (white),KG,actual,Retail,DZD,280.0,2.8432
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,vegetables and fruits,Apples,KG,actual,Retail,DZD,250.0,2.5386
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,vegetables and fruits,Bananas,KG,actual,Retail,DZD,250.0,2.5386
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,vegetables and fruits,Oranges,KG,actual,Retail,DZD,250.0,2.5386
2015-04-15,Tindouf,Tindouf,Dakhla,26.82744789123535,-6.869947910308838,vegetables and fruits,Tomatoes,KG,actual,Retail,DZD,150.0,1.5232
2015-04-15,Tindouf,Tindouf,Smara,27.4923095703125,-7.828404903411865,cereals and tubers,Bread,Unit,actual,Retail,DZD,10.0,0.1015
2015-04-15,Tindouf,Tindouf,Smara,27.4923095703125,-7.828404903411865,cereals and tubers,Pasta,500 G,actual,Retail,DZD,40.0,0.4062
2015-04-15,Tindouf,Tindouf,Smara,27.4923095703125,-7.828404903411865,cereals and tubers,Potatoes,KG,actual,Retail,DZD,120.0,1.2185
2015-04-15,Tindouf,Tindouf,Smara,27.4923095703125,-7.828404903411865,cereals and tubers,Rice,KG,actual,Retail,DZD,90.0,0.9139
2015-04-15,Tindouf,Tindouf,Smara,27.4923095703125,-7.828404903411865,"meat, fish and eggs",Eggs,30 pcs,actual,Retail,DZD,330.0,3.3509
2015-04-15,Tindouf,Tindouf,Smara,27.4923095703125,-7.828404903411865,"meat, fish and eggs",Fish (canned),125 G,actual,Retail,DZD,75.0,0.7616
2015-04-15,Tindouf,Tindouf,Smara,27.4923095703125,-7.828404903411865,"meat, fish and eggs",Meat (chicken),KG,actual,Retail,DZD,350.0,3.554
2015-04-15,Tindouf,Tindouf,Smara,27.4923095703125,-7.828404903411865,milk and dairy,Cheese (dry),Unit,actual,Retail,DZD,200.0,2.0309
