date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2010-08-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,4.7,0.8241
2010-08-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.81,0.3173
2010-08-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.98,0.6981
2010-08-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.44,0.6035
2010-08-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,50.22,8.8105
2010-08-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,17.0,2.9822
2010-08-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.28,0.7512
2010-08-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.82,1.7236
2010-08-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,33.42,5.8635
2010-08-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,8.76,1.5365
2010-08-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,5.76,1.0108
2010-08-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,8.89,1.5595
2010-08-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,11.26,1.9747
2010-08-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,1.7,0.2979
2010-08-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,2.2,0.3865
2010-09-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.05,0.8838
2010-09-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.99,0.3479
2010-09-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.92,0.6861
2010-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.07,0.712
2010-09-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,53.26,9.3275
2010-09-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,16.83,2.9467
2010-09-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.38,0.7662
2010-09-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.86,1.7262
2010-09-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,34.11,5.9743
2010-09-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,8.8,1.542
2010-09-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,5.95,1.0418
2010-09-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,8.91,1.5605
2010-09-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,11.91,2.0865
2010-09-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,1.96,0.3432
2010-09-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,3.56,0.624
2010-10-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.03,0.8824
2010-10-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.96,0.3431
2010-10-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.94,0.691
2010-10-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.09,0.7168
2010-10-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.63,0.8126
2010-10-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.98,1.75
2010-10-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,34.76,6.098
2010-10-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,8.88,1.5584
2010-10-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,6.28,1.1017
2010-10-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.23,1.619
2010-10-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.01,2.2825
2010-10-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.11,0.3707
2010-10-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.18,0.382
2010-11-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.03,0.8749
2010-11-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.97,0.3433
2010-11-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.84,0.6685
2010-11-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.02,0.6996
2010-11-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,57.02,9.9167
2010-11-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,14.5,2.5224
2010-11-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.82,0.8389
2010-11-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.99,1.7375
2010-11-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,6.62,1.1508
2010-11-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.49,1.6508
2010-11-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.1,2.2783
2010-11-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.23,0.3885
2010-12-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.03,0.869
2010-12-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.53,0.2642
2010-12-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.9,0.6728
2010-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.95,0.6823
2010-12-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,55.57,9.5973
2010-12-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.05,2.2546
2010-12-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.22,1.766
2010-12-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,9.6,1.6583
2010-12-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,6.9,1.1912
2010-12-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,12.94,2.2343
2010-12-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.65,0.4568
2010-12-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.65,0.4572
2010-12-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,1.92,0.3309
2011-01-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.01,0.8636
2011-01-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.42,0.2454
2011-01-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.02,0.6939
2011-01-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.27,2.2874
2011-01-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,6.14,1.0584
2011-01-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.5,1.8104
2011-01-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,35.6,6.1372
2011-01-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,9.89,1.706
2011-01-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,7.49,1.2918
2011-01-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.55,1.6472
2011-01-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.4,2.3112
2011-01-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,3.0,0.518
2011-01-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,2.03,0.3503
2011-02-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.05,0.8585
2011-02-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.4,0.2379
2011-02-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,4.09,0.6956
2011-02-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,53.36,9.0745
2011-02-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,12.97,2.2053
2011-02-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,5.72,0.9725
2011-02-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.84,1.8437
2011-02-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,10.05,1.7091
2011-02-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,7.72,1.3128
2011-02-15,,,National Average,,,pulses and nuts,Lentils,KG,actual,Retail,EGP,9.81,1.6687
2011-02-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.8,0.4759
2011-02-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,1.75,0.2974
