date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2007-04-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Barley,100 KG,actual,Retail,ERN,1200.0,78.0488
2007-04-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Sorghum,100 KG,actual,Retail,ERN,1000.0,65.0407
2007-04-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat,100 KG,actual,Retail,ERN,1700.0,110.5691
2007-04-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat flour,100 KG,actual,Retail,ERN,1800.0,117.0732
2007-04-15,Maekel,Southern Merab,Asmara,15.332,38.918,pulses and nuts,Chickpeas,100 KG,actual,Retail,ERN,2800.0,182.1138
2007-05-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Barley,100 KG,actual,Retail,ERN,1300.0,84.5528
2007-05-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Sorghum,100 KG,actual,Retail,ERN,900.0,58.5366
2007-05-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat,100 KG,actual,Retail,ERN,1600.0,104.065
2007-05-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat flour,100 KG,actual,Retail,ERN,1800.0,117.0732
2007-05-15,Maekel,Southern Merab,Asmara,15.332,38.918,pulses and nuts,Chickpeas,100 KG,actual,Retail,ERN,2600.0,169.1057
2007-06-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Barley,100 KG,actual,Retail,ERN,1300.0,84.5528
2007-06-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Sorghum,100 KG,actual,Retail,ERN,900.0,58.5366
2007-06-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat,100 KG,actual,Retail,ERN,1650.0,107.3171
2007-06-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat flour,100 KG,actual,Retail,ERN,1900.0,123.5772
2007-06-15,Maekel,Southern Merab,Asmara,15.332,38.918,pulses and nuts,Chickpeas,100 KG,actual,Retail,ERN,2500.0,162.6016
2007-07-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Barley,100 KG,actual,Retail,ERN,1100.0,71.5447
2007-07-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Sorghum,100 KG,actual,Retail,ERN,1000.0,65.0407
2007-07-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat,100 KG,actual,Retail,ERN,1300.0,84.5528
2007-07-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat flour,100 KG,actual,Retail,ERN,1800.0,117.0732
2007-07-15,Maekel,Southern Merab,Asmara,15.332,38.918,pulses and nuts,Chickpeas,100 KG,actual,Retail,ERN,2700.0,175.6098
2007-08-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Barley,100 KG,actual,Retail,ERN,1200.0,78.0488
2007-08-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Sorghum,100 KG,actual,Retail,ERN,1150.0,74.7967
2007-08-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat,100 KG,actual,Retail,ERN,1350.0,87.8049
2007-08-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat flour,100 KG,actual,Retail,ERN,2050.0,133.3333
2007-08-15,Maekel,Southern Merab,Asmara,15.332,38.918,pulses and nuts,Chickpeas,100 KG,actual,Retail,ERN,2800.0,182.1138
2007-09-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Barley,100 KG,actual,Retail,ERN,1300.0,84.5528
2007-09-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Sorghum,100 KG,actual,Retail,ERN,1200.0,78.0488
2007-09-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat,100 KG,actual,Retail,ERN,1400.0,91.0569
2007-09-15,Maekel,Southern Merab,Asmara,15.332,38.918,cereals and tubers,Wheat flour,100 KG,actual,Retail,ERN,1950.0,126.8293
