date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,cereals and tubers,Sweet potatoes,KG,actual,Retail,FJD,2.63,1.2963
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,cereals and tubers,Sweet potatoes,KG,actual,Wholesale,FJD,1.71,0.8444
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Coconut,KG,actual,Retail,FJD,1.35,0.6631
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Coconut,KG,actual,Wholesale,FJD,0.96,0.4736
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Plantains,KG,actual,Retail,FJD,2.73,1.3434
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Tomatoes,KG,actual,Retail,FJD,1.68,0.8279
2021-03-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Tomatoes,KG,actual,Wholesale,FJD,1.0,0.4926
2021-04-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Eggplants,KG,actual,Retail,FJD,2.41,1.187
2021-04-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Pumpkin,KG,actual,Retail,FJD,1.44,0.7071
2021-04-15,Central,Tailevu,Nausori,-18.029486,178.529843,vegetables and fruits,Tamarind,KG,actual,Retail,FJD,10.53,5.1854
2021-04-15,Western,Nadroga,Sigatoka,-18.139509,177.50733,vegetables and fruits,Kumquat,KG,actual,Wholesale,FJD,2.5,1.2315
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,cereals and tubers,Cassava,KG,actual,Retail,FJD,1.54,0.7365
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,cereals and tubers,Cassava,KG,actual,Wholesale,FJD,1.05,0.5041
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,cereals and tubers,Sweet potatoes,KG,actual,Retail,FJD,2.02,0.9685
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,cereals and tubers,Sweet potatoes,KG,actual,Wholesale,FJD,1.25,0.5981
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,cereals and tubers,Taro,KG,actual,Wholesale,FJD,0.98,0.4695
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,"meat, fish and eggs",Eggs,KG,actual,Retail,FJD,14.95,7.1552
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,"meat, fish and eggs",Eggs,KG,actual,Wholesale,FJD,13.96,6.6813
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,pulses and nuts,Beans (long),KG,actual,Retail,FJD,4.74,2.2658
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,pulses and nuts,Beans (long),KG,actual,Wholesale,FJD,4.39,2.0997
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,pulses and nuts,Cowpeas,KG,actual,Retail,FJD,5.27,2.522
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,pulses and nuts,Cowpeas,KG,actual,Wholesale,FJD,3.18,1.5219
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,vegetables and fruits,Bananas,KG,actual,Retail,FJD,1.61,0.7716
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,vegetables and fruits,Bananas,KG,actual,Wholesale,FJD,1.75,0.8373
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,vegetables and fruits,Cabbage (chinese),KG,actual,Retail,FJD,1.67,0.7974
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,vegetables and fruits,Cabbage (english),KG,actual,Retail,FJD,2.13,1.0201
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,vegetables and fruits,Cabbage (slippery),KG,actual,Retail,FJD,2.35,1.1258
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,vegetables and fruits,Cabbage (slippery),KG,actual,Wholesale,FJD,1.67,0.7974
2021-10-15,Central,Rewa,Suva,-18.135996,178.424586,vegetables and fruits,Chili (Jungli),KG,actual,Retail,FJD,11.3,5.4071
