date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2006-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,10.31,11.3475
2006-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,25.4,27.9561
2006-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,38.25,42.0992
2006-01-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Yam,250 KG,actual,Wholesale,GHS,63.38,69.7582
2006-01-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,16.15,17.7752
2006-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,13.9,15.2988
2006-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,28.2,31.0379
2006-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,26.0,28.6165
2006-01-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Yam,250 KG,actual,Wholesale,GHS,57.75,63.5616
2006-01-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,9.4,-0.833333,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,30.0,33.019
2006-01-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,9.4,-0.833333,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,20.0,22.0127
2006-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,22.0,24.2139
2006-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,27.25,29.9923
2006-01-15,UPPER EAST,BOLGATANGA MUNICIPAL,Bolga,10.785556,-0.851389,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,25.0,27.5158
2006-01-15,UPPER WEST,WA MUNICIPAL,Wa,10.05,-2.483333,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,21.4,23.5536
2006-01-15,UPPER WEST,WA MUNICIPAL,Wa,10.05,-2.483333,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,30.85,33.9546
2006-01-15,UPPER WEST,WA MUNICIPAL,Wa,10.05,-2.483333,cereals and tubers,Yam,250 KG,actual,Wholesale,GHS,49.0,53.9311
2006-02-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,21.75,23.9311
2006-02-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,40.25,44.2864
2006-02-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,33.63,37.0025
2006-02-15,ASHANTI,KMA,Kumasi,6.683333,-1.616667,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,35.0,38.5099
2006-02-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,13.5,14.8538
2006-02-15,BRONG AHAFO,TECHIMAN MUNICIPAL,Techiman,7.583333,-1.933333,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,14.91,16.4052
2006-02-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,27.05,29.7626
2006-02-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,54.38,59.8334
2006-02-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,28.0,30.8079
2006-02-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,50.0,55.0141
2006-02-15,GREATER ACCRA,ACCRA METROPOLIS,Accra,5.55,-0.216667,cereals and tubers,Yam,250 KG,actual,Wholesale,GHS,58.5,64.3665
2006-02-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,9.4,-0.833333,cereals and tubers,Cassava,91 KG,actual,Wholesale,GHS,13.0,14.3037
2006-02-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,9.4,-0.833333,cereals and tubers,Maize,100 KG,actual,Wholesale,GHS,20.0,22.0056
2006-02-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,9.4,-0.833333,cereals and tubers,Millet,93 KG,actual,Wholesale,GHS,29.0,31.9082
2006-02-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,9.4,-0.833333,cereals and tubers,Rice (local),50 KG,actual,Wholesale,GHS,19.0,20.9054
2006-02-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,9.4,-0.833333,cereals and tubers,Sorghum,109 KG,actual,Wholesale,GHS,21.75,23.9311
2006-02-15,NORTHERN,TAMALE NORTH SUB METRO,Tamale,9.4,-0.833333,cereals and tubers,Yam,250 KG,actual,Wholesale,GHS,57.5,63.2662
