date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2008-01-15,Kindia,Conakry,Conakry-Yéguéma,9.566666603088379,-13.633333206176758,cereals and tubers,Rice (local),KG,actual,Retail,GNF,3100.0,0.7285
2008-01-15,Nzerekore,Nzerekore,Grand marché (Nzerekore),7.74722,-8.8238897,cereals and tubers,Rice (local),KG,actual,Retail,GNF,2849.5,0.6696
2008-02-15,Kankan,Kankan,Dibida (Kankan),10.383330345153809,-9.300000190734863,cereals and tubers,Rice (local),KG,actual,Retail,GNF,2914.0,0.6826
2008-02-15,Labe,Labe,Marché central (Labé),11.321801,-12.290226,cereals and tubers,Rice (local),KG,actual,Retail,GNF,2647.0,0.62
2008-02-15,Nzerekore,Nzerekore,Grand marché (Nzerekore),7.74722,-8.8238897,cereals and tubers,Rice (local),KG,actual,Retail,GNF,3062.0,0.7172
2008-03-15,Kindia,Conakry,Conakry-Yéguéma,9.566666603088379,-13.633333206176758,cereals and tubers,Rice (local),KG,actual,Retail,GNF,3550.0,0.8057
2008-03-15,Labe,Labe,Marché central (Labé),11.321801,-12.290226,cereals and tubers,Rice (local),KG,actual,Retail,GNF,3012.75,0.6838
2008-03-15,Nzerekore,Nzerekore,Grand marché (Nzerekore),7.74722,-8.8238897,cereals and tubers,Rice (local),KG,actual,Retail,GNF,3201.5,0.7266
2008-04-15,Kankan,Kankan,Dibida (Kankan),10.383330345153809,-9.300000190734863,cereals and tubers,Rice (local),KG,actual,Retail,GNF,3735.8,0.8498
2008-04-15,Kindia,Conakry,Conakry-Yéguéma,9.566666603088379,-13.633333206176758,cereals and tubers,Rice (local),KG,actual,Retail,GNF,3925.0,0.8929
2008-04-15,Nzerekore,Nzerekore,Grand marché (Nzerekore),7.74722,-8.8238897,cereals and tubers,Rice (local),KG,actual,Retail,GNF,4125.0,0.9384
2008-05-15,Kindia,Conakry,Conakry-Yéguéma,9.566666603088379,-13.633333206176758,cereals and tubers,Rice (local),KG,actual,Retail,GNF,4800.0,1.0904
2008-05-15,Labe,Labe,Marché central (Labé),11.321801,-12.290226,cereals and tubers,Rice (local),KG,actual,Retail,GNF,3963.0,0.9003
2008-05-15,Nzerekore,Nzerekore,Grand marché (Nzerekore),7.74722,-8.8238897,cereals and tubers,Rice (local),KG,actual,Retail,GNF,4500.0,1.0223
2008-06-15,Kankan,Kankan,Dibida (Kankan),10.383330345153809,-9.300000190734863,cereals and tubers,Rice (local),KG,actual,Retail,GNF,4468.0,0.9889
