date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2005-11-15,Akmolinskaya,Tselinograd,Nur-Sultan,51.17,71.43,cereals and tubers,Potatoes,KG,actual,Retail,KZT,40.0,0.298
2005-11-15,Akmolinskaya,Tselinograd,Nur-Sultan,51.17,71.43,cereals and tubers,Wheat flour (first grade),KG,actual,Retail,KZT,61.0,0.4544
2005-11-15,Akmolinskaya,Tselinograd,Nur-Sultan,51.17,71.43,"meat, fish and eggs",Meat (beef),KG,actual,Retail,KZT,403.0,3.0023
2005-11-15,Akmolinskaya,Tselinograd,Nur-Sultan,51.17,71.43,milk and dairy,Milk,L,actual,Retail,KZT,58.0,0.4321
2005-11-15,Akmolinskaya,Tselinograd,Nur-Sultan,51.17,71.43,oil and fats,Oil (sunflower),L,actual,Retail,KZT,184.0,1.3708
2005-11-15,Almaty City area,Almaty City area,Almaty,43.28,76.9,cereals and tubers,Potatoes,KG,actual,Retail,KZT,49.0,0.365
2005-11-15,Almaty City area,Almaty City area,Almaty,43.28,76.9,cereals and tubers,Wheat flour (first grade),KG,actual,Retail,KZT,53.0,0.3948
2005-11-15,Almaty City area,Almaty City area,Almaty,43.28,76.9,milk and dairy,Milk,L,actual,Retail,KZT,66.0,0.4917
2005-11-15,Almaty City area,Almaty City area,Almaty,43.28,76.9,oil and fats,Oil (sunflower),L,actual,Retail,KZT,166.0,1.2367
2005-11-15,Kustanayskaya,Qostanay,Kostanay,53.2,63.63,cereals and tubers,Potatoes,KG,actual,Retail,KZT,34.0,0.2533
2005-11-15,Kustanayskaya,Qostanay,Kostanay,53.2,63.63,cereals and tubers,Wheat flour (first grade),KG,actual,Retail,KZT,39.0,0.2905
