date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2006-04-15,Bomi,Senjeh,Tubmanburg,6.870833,-10.817222,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,15.0,0.2626
2006-04-15,Bomi,Senjeh,Tubmanburg,6.870833,-10.817222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1112.5,19.4748
2006-04-15,Bomi,Senjeh,Tubmanburg,6.870833,-10.817222,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,137.5,2.407
2006-04-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,5.0,0.0875
2006-04-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1750.0,30.6346
2006-04-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,125.0,2.1882
2006-04-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,25.0,0.4376
2006-04-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1250.0,21.8818
2006-04-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,110.0,1.9256
2006-04-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,22.5,0.3939
2006-04-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1450.0,25.3829
2006-04-15,Lofa,Voinjama,Voinjama,8.421944,-9.747778,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,17.5,0.3063
2006-05-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,5.0,0.0866
2006-05-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1725.0,29.8743
2006-05-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,22.5,0.3897
2006-05-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1325.0,22.9469
2006-05-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1450.0,25.1117
2006-05-15,Lofa,Voinjama,Voinjama,8.421944,-9.747778,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1550.0,26.8436
2006-06-15,Bomi,Senjeh,Tubmanburg,6.870833,-10.817222,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,15.0,0.2553
2006-06-15,Bomi,Senjeh,Tubmanburg,6.870833,-10.817222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1387.5,23.617
2006-06-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,5.0,0.0851
2006-06-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1725.0,29.3617
2006-06-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,22.5,0.383
2006-06-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1400.0,23.8298
2006-06-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1450.0,24.6809
2006-06-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,212.5,3.617
2006-06-15,Lofa,Voinjama,Voinjama,8.421944,-9.747778,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1550.0,26.383
2006-07-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,15.0,0.2521
2006-07-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1425.0,23.9496
2006-07-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,22.5,0.3782
2006-07-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1450.0,24.3697
2006-07-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,22.5,0.3782
2006-07-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1450.0,24.3697
2006-08-15,Bomi,Senjeh,Tubmanburg,6.870833,-10.817222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1412.5,23.548
2006-08-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,22.5,0.3751
2006-08-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1775.0,29.5913
2006-08-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,237.5,3.9594
2006-08-15,Lofa,Voinjama,Voinjama,8.421944,-9.747778,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,22.5,0.3751
2006-08-15,Lofa,Voinjama,Voinjama,8.421944,-9.747778,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1550.0,25.8403
2006-08-15,Lofa,Voinjama,Voinjama,8.421944,-9.747778,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,212.5,3.5426
2006-09-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,15.0,0.25
2006-09-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1650.0,27.5
2006-09-15,Bong,Jorquelleh,Gbarnga,6.995556,-9.472222,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,195.0,3.25
2006-09-15,Grand Bassa,Commonwealth2,Buchanan,5.911111,-10.0625,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,10.0,0.1667
2006-09-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,17.5,0.2917
2006-09-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1875.0,31.25
2006-09-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,202.5,3.375
2006-10-15,Bomi,Senjeh,Tubmanburg,6.870833,-10.817222,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,15.0,0.2521
2006-10-15,Bomi,Senjeh,Tubmanburg,6.870833,-10.817222,cereals and tubers,Rice (imported),50 KG,actual,Retail,LRD,1327.5,22.3109
2006-10-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,22.5,0.3782
2006-10-15,Grand Gedeh,Tchien,Zwedru,6.066667,-8.128056,oil and fats,Oil (palm),Gallon,actual,Retail,LRD,237.5,3.9916
2006-10-15,Lofa,Voinjama,Voinjama,8.421944,-9.747778,cereals and tubers,Cassava (fresh),50 KG,actual,Retail,LRD,15.0,0.2521
