date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2004-01-15,Androy,Ambovombe-Androy,Ambovombe-androy,-25.17694,46.0869,cereals and tubers,Rice (local),KG,actual,Retail,MGA,584.5,0.4561
2004-01-15,Androy,Bekily,Bekily,-24.22191048,45.319931,cereals and tubers,Rice (local),KG,actual,Retail,MGA,546.7,0.4266
2004-01-15,Androy,Beloha,Beloha,-25.173228,45.0603566,cereals and tubers,Rice (local),KG,actual,Retail,MGA,560.0,0.437
2004-01-15,Androy,Tsihombe,Tsihombe,-25.317,45.483333,cereals and tubers,Rice (local),KG,actual,Retail,MGA,577.5,0.4506
2004-01-15,Anosy,Amboasary-Atsimo,Amboasary Sud,-25.041343688,46.3840446,cereals and tubers,Rice (local),KG,actual,Retail,MGA,528.5,0.4124
2004-01-15,Atsimo Andrefana,Ampanihy Ouest,Ampanihy,-24.696,44.746,cereals and tubers,Rice (local),KG,actual,Retail,MGA,532.0,0.4151
2004-01-15,Atsimo Andrefana,Betioky Atsimo,Betioky,-23.721987,44.3827553,cereals and tubers,Rice (local),KG,actual,Retail,MGA,442.4,0.3452
2004-02-15,Androy,Ambovombe-Androy,Ambovombe-androy,-25.17694,46.0869,cereals and tubers,Rice (local),KG,actual,Retail,MGA,595.0,0.4298
2004-02-15,Androy,Bekily,Bekily,-24.22191048,45.319931,cereals and tubers,Rice (local),KG,actual,Retail,MGA,546.7,0.3949
2004-02-15,Androy,Beloha,Beloha,-25.173228,45.0603566,cereals and tubers,Rice (local),KG,actual,Retail,MGA,602.0,0.4349
2004-02-15,Androy,Tsihombe,Tsihombe,-25.317,45.483333,cereals and tubers,Rice (local),KG,actual,Retail,MGA,658.0,0.4753
2004-02-15,Anosy,Amboasary-Atsimo,Amboasary Sud,-25.041343688,46.3840446,cereals and tubers,Rice (local),KG,actual,Retail,MGA,531.3,0.3838
2004-02-15,Atsimo Andrefana,Ampanihy Ouest,Ampanihy,-24.696,44.746,cereals and tubers,Rice (local),KG,actual,Retail,MGA,548.1,0.3959
2004-02-15,Atsimo Andrefana,Betioky Atsimo,Betioky,-23.721987,44.3827553,cereals and tubers,Rice (local),KG,actual,Retail,MGA,485.1,0.3504
2004-03-15,Androy,Ambovombe-Androy,Ambovombe-androy,-25.17694,46.0869,cereals and tubers,Rice (local),KG,actual,Retail,MGA,646.1,0.407
2004-03-15,Androy,Bekily,Bekily,-24.22191048,45.319931,cereals and tubers,Rice (local),KG,actual,Retail,MGA,505.4,0.3184
2004-03-15,Androy,Beloha,Beloha,-25.173228,45.0603566,cereals and tubers,Rice (local),KG,actual,Retail,MGA,612.5,0.3858
2004-03-15,Androy,Tsihombe,Tsihombe,-25.317,45.483333,cereals and tubers,Rice (local),KG,actual,Retail,MGA,665.0,0.4189
2004-03-15,Anosy,Amboasary-Atsimo,Amboasary Sud,-25.041343688,46.3840446,cereals and tubers,Rice (local),KG,actual,Retail,MGA,595.0,0.3748
2004-03-15,Atsimo Andrefana,Ampanihy Ouest,Ampanihy,-24.696,44.746,cereals and tubers,Rice (local),KG,actual,Retail,MGA,591.5,0.3726
2004-03-15,Atsimo Andrefana,Betioky Atsimo,Betioky,-23.721987,44.3827553,cereals and tubers,Rice (local),KG,actual,Retail,MGA,531.3,0.3347
2004-06-15,Androy,Ambovombe-Androy,Ambovombe-androy,-25.17694,46.0869,cereals and tubers,Rice (local),KG,actual,Retail,MGA,798.0,0.3666
2004-06-15,Androy,Bekily,Bekily,-24.22191048,45.319931,cereals and tubers,Rice (local),KG,actual,Retail,MGA,658.0,0.3023
2004-06-15,Androy,Beloha,Beloha,-25.173228,45.0603566,cereals and tubers,Rice (local),KG,actual,Retail,MGA,787.5,0.3618
2004-06-15,Androy,Tsihombe,Tsihombe,-25.317,45.483333,cereals and tubers,Rice (local),KG,actual,Retail,MGA,791.0,0.3634
2004-06-15,Anosy,Amboasary-Atsimo,Amboasary Sud,-25.041343688,46.3840446,cereals and tubers,Rice (local),KG,actual,Retail,MGA,617.4,0.2836
2004-06-15,Atsimo Andrefana,Ampanihy Ouest,Ampanihy,-24.696,44.746,cereals and tubers,Rice (local),KG,actual,Retail,MGA,761.6,0.3499
2004-06-15,Atsimo Andrefana,Betioky Atsimo,Betioky,-23.721987,44.3827553,cereals and tubers,Rice (local),KG,actual,Retail,MGA,731.5,0.336
2004-07-15,Androy,Ambovombe-Androy,Ambovombe-androy,-25.17694,46.0869,cereals and tubers,Rice (local),KG,actual,Retail,MGA,800.1,0.3853
