date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.05,0.2155
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.5,0.473
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.9,0.9355
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,6.25,0.657
2000-01-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,3.0,0.3153
2000-01-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.62,0.1703
2000-01-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.0,0.4205
2000-01-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,9.0,0.946
2000-01-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,23.0,2.4177
2000-02-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.0,0.2134
2000-02-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.4,0.4696
2000-02-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.95,0.9552
2000-02-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,5.95,0.635
2000-02-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.0,0.4269
2000-02-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.1,0.2241
2000-02-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,9.0,0.9605
2000-02-15,Sinaloa,Culiacan,Culiacán,24.805,-107.386,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.38,0.254
2000-03-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.2,0.4506
2000-03-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.88,0.9528
2000-03-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.04,0.4335
2000-03-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.1,0.2253
2000-03-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,9.0,0.9657
2000-03-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,7.0,0.7511
2000-03-15,Sinaloa,Culiacan,Culiacán,24.805,-107.386,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.5,0.2682
2000-04-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.0,0.4292
2000-04-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.8,0.9442
2000-04-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,5.3,0.5687
2000-04-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Zacatecas)",KG,actual,Wholesale,MXN,5.5,0.5901
2000-04-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,6.0,0.6438
2000-04-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.7,0.1824
2000-04-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,3.77,0.4045
2000-04-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.1,0.2253
2000-04-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.82,0.9463
2000-04-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,6.45,0.692
2000-04-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,6.0,0.6438
2000-04-15,Sinaloa,Culiacan,Culiacán,24.805,-107.386,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.5,0.2682
2000-04-15,Veracruz,Xico,Xalapa,19.54,-96.933,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.8,0.1931
2000-04-15,Veracruz,Xico,Xalapa,19.54,-96.933,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,5.45,0.5848
2000-05-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.0,0.2099
2000-05-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,3.88,0.4071
2000-05-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,5.62,0.5897
2000-05-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.0,0.7345
2000-05-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,3.66,0.3841
2000-05-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.8,0.9234
2000-05-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,6.1,0.6401
2000-05-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.36,0.7723
2000-05-15,Sinaloa,Culiacan,Culiacán,24.805,-107.386,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.5,0.2623
2000-05-15,Veracruz,Xico,Xalapa,19.54,-96.933,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.7,0.1784
2000-06-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.0,0.2028
2000-06-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.12,0.4178
2000-06-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.8,0.8925
2000-06-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,6.15,0.6237
2000-06-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Zacatecas)",KG,actual,Wholesale,MXN,5.8,0.5882
2000-06-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.48,0.7586
2000-06-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,3.52,0.357
2000-06-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.05,0.2079
2000-06-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.85,0.8976
2000-06-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.8,0.7911
2000-06-15,Veracruz,Xico,Xalapa,19.54,-96.933,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.8,0.1826
2000-07-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.0,0.2069
2000-07-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.15,0.4293
2000-07-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.8,0.9103
2000-07-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,6.6,0.6827
2000-07-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Zacatecas)",KG,actual,Wholesale,MXN,5.78,0.5979
2000-07-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.35,0.7603
2000-07-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.7,0.1759
2000-07-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,3.65,0.3776
2000-07-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.9,0.9207
2000-07-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.65,0.7914
2000-07-15,Sinaloa,Culiacan,Culiacán,24.805,-107.386,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.5,0.2586
2000-08-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.08,0.444
2000-08-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.8,0.9576
2000-08-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Zacatecas)",KG,actual,Wholesale,MXN,5.38,0.5854
2000-08-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.22,0.7856
2000-08-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.7,0.185
2000-08-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,3.6,0.3917
2000-08-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,9.0,0.9793
2000-08-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.36,0.8009
2000-08-15,Sinaloa,Culiacan,Culiacán,24.805,-107.386,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.5,0.272
2000-08-15,Veracruz,Xico,Xalapa,19.54,-96.933,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.8,0.1959
2000-08-15,Veracruz,Xico,Xalapa,19.54,-96.933,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,6.8,0.7399
2000-09-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.08,0.4345
2000-09-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.8,0.9372
2000-09-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Veracruz)",KG,actual,Wholesale,MXN,6.0,0.639
2000-09-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.18,0.7646
2000-09-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.17,0.1246
2000-09-15,Jalisco,Guadalajara,Guadalajara,20.677,-103.346,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,3.65,0.3887
2000-09-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.1,0.2236
2000-09-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,9.0,0.9585
2000-09-15,Puebla,San Andres Cholula,Puebla,19.01,-98.2,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,7.4,0.7881
2000-09-15,Veracruz,Xico,Xalapa,19.54,-96.933,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,1.8,0.1917
2000-09-15,Veracruz,Xico,Xalapa,19.54,-96.933,pulses and nuts,"Beans (black, imported)",KG,actual,Wholesale,MXN,6.65,0.7082
2000-10-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,Maize (white),KG,actual,Wholesale,MXN,2.0,0.21
2000-10-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (long grain, Sinaloa)",KG,actual,Wholesale,MXN,4.0,0.42
2000-10-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,cereals and tubers,"Rice (small grain, Morelos)",KG,actual,Wholesale,MXN,8.8,0.9241
2000-10-15,Distrito Federal,Cuauhtemoc,Mexico City,19.411,-99.131,pulses and nuts,"Beans (black, Zacatecas)",KG,actual,Wholesale,MXN,5.15,0.5408
