date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2000-01-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,Maize (white),46 KG,actual,Wholesale,NIO,122.64,9.9324
2000-01-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,"Rice (ordinary, first quality)",46 KG,actual,Wholesale,NIO,312.94,25.3444
2000-01-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,NIO,248.53,20.1279
2000-01-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,pulses and nuts,Beans (red),46 KG,actual,Wholesale,NIO,447.94,36.2777
2000-02-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,Maize (white),46 KG,actual,Wholesale,NIO,124.83,10.0596
2000-02-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,Rice (low quality),46 KG,actual,Wholesale,NIO,227.0,18.2932
2000-02-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,NIO,249.33,20.0927
2000-02-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,pulses and nuts,Beans (red),46 KG,actual,Wholesale,NIO,441.0,35.5387
2000-03-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,Maize (white),46 KG,actual,Wholesale,NIO,159.85,12.8223
2000-03-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,"Rice (ordinary, first quality)",46 KG,actual,Wholesale,NIO,314.41,25.2204
2000-03-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,NIO,252.65,20.2663
2000-03-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,pulses and nuts,Beans (red),46 KG,actual,Wholesale,NIO,432.94,34.7282
2000-04-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,Maize (white),46 KG,actual,Wholesale,NIO,166.67,13.3039
2000-04-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,Rice (low quality),46 KG,actual,Wholesale,NIO,228.96,18.276
2000-04-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,"Rice (ordinary, first quality)",46 KG,actual,Wholesale,NIO,314.17,25.0776
2000-04-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,"Rice (ordinary, second quality)",46 KG,actual,Wholesale,NIO,252.08,20.1215
2000-04-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,pulses and nuts,Beans (red),46 KG,actual,Wholesale,NIO,427.92,34.1574
2000-05-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,Maize (white),46 KG,actual,Wholesale,NIO,182.92,14.5314
2000-05-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,Rice (low quality),46 KG,actual,Wholesale,NIO,228.47,18.15
2000-05-15,Managua,Managua,Managua,12.1149926,-86.2361743999999,cereals and tubers,"Rice (ordinary, first quality)",46 KG,actual,Wholesale,NIO,313.61,24.9136
