date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,cereals and tubers,Cassava,KG,actual,Retail,SLL,383.88,0.0888
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3600.0,0.8324
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3600.0,0.8324
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,13333.33,3.0829
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,20000.0,4.6243
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,10869.57,2.5132
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,oil and fats,Oil (palm),KG,actual,Retail,SLL,6666.67,1.5414
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,4166.67,0.9634
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,8333.33,1.9268
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,4347.83,1.0053
2012-02-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,vegetables and fruits,Peppers (green),KG,actual,Retail,SLL,11363.64,2.6274
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,cereals and tubers,Cassava,KG,actual,Retail,SLL,1111.11,0.2578
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3200.0,0.7423
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3600.0,0.8351
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,5000.0,1.1599
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,22222.22,5.1551
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,5882.35,1.3646
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,oil and fats,Oil (palm),KG,actual,Retail,SLL,5666.67,1.3146
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,5200.0,1.2063
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,7692.31,1.7845
2012-08-15,Eastern,Kenema,Kenema,7.876667,-11.1875,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,6000.0,1.3919
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,cereals and tubers,Cassava,KG,actual,Retail,SLL,537.63,0.0236
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3800.0,0.1666
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,cereals and tubers,Rice (local),KG,actual,Retail,SLL,4000.0,0.1753
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,9728.51,0.4264
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,11666.67,0.5114
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,oil and fats,Oil (palm),KG,actual,Retail,SLL,6000.0,0.263
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,4600.0,0.2016
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,9600.0,0.4208
2012-09-15,Southern,Bonthe,Bonthe,7.52570279999999,-12.5039921999999,vegetables and fruits,Peppers (green),KG,actual,Retail,SLL,13333.33,0.5845
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,cereals and tubers,Cassava,KG,actual,Retail,SLL,1000.0,0.2326
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3600.0,0.8372
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3600.0,0.8372
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,25000.0,5.814
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,oil and fats,Oil (palm),KG,actual,Retail,SLL,6000.0,1.3953
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,3600.0,0.8372
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,7200.0,1.6744
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,3200.0,0.7442
2012-10-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,vegetables and fruits,Peppers (green),KG,actual,Retail,SLL,6000.0,1.3953
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,cereals and tubers,Cassava,KG,actual,Retail,SLL,977.27,0.2289
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3300.0,0.773
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3600.0,0.8433
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,10000.0,2.3425
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,25000.0,5.8562
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,6000.0,1.4055
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,oil and fats,Oil (palm),KG,actual,Retail,SLL,6000.0,1.4055
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,3600.0,0.8433
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,7200.0,1.6866
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,3200.0,0.7496
2012-11-15,North Western,Port Loko,Port Loko,8.766667,-12.783333,vegetables and fruits,Peppers (green),KG,actual,Retail,SLL,6500.0,1.5226
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,cereals and tubers,Cassava,KG,actual,Retail,SLL,414.81,0.0974
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,2901.35,0.6814
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3486.49,0.8188
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,13139.88,3.0859
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,20634.92,4.8462
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,5025.97,1.1804
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,oil and fats,Oil (palm),KG,actual,Retail,SLL,9583.33,2.2507
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,4791.67,1.1253
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,8333.33,1.9571
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,3784.72,0.8888
2013-01-15,Eastern,Kailahun,Kailahun,8.283333,-10.566667,vegetables and fruits,Peppers (green),KG,actual,Retail,SLL,4897.52,1.1502
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,cereals and tubers,Cassava,KG,actual,Retail,SLL,460.49,0.1081
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3400.0,0.7985
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3400.0,0.7985
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,4631.52,1.0877
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,22222.22,5.2189
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,4926.47,1.157
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,oil and fats,Oil (palm),KG,actual,Retail,SLL,9666.67,2.2702
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,3400.0,0.7985
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,7307.69,1.7162
2013-01-15,Eastern,Kenema,Kenema,7.876667,-11.1875,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,3600.0,0.8455
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,cereals and tubers,Cassava,KG,actual,Retail,SLL,1692.31,0.3974
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,2666.67,0.6263
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,cereals and tubers,Rice (local),KG,actual,Retail,SLL,2666.67,0.6263
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,10000.0,2.3485
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,20000.0,4.697
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,7500.0,1.7614
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,oil and fats,Oil (palm),KG,actual,Retail,SLL,13333.33,3.1314
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,2333.33,0.548
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,5333.33,1.2525
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,3333.33,0.7828
2013-01-15,Eastern,Kono,Kono,8.645999908447266,-10.9753999710083,vegetables and fruits,Peppers (green),KG,actual,Retail,SLL,8000.0,1.8788
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,cereals and tubers,Cassava,KG,actual,Retail,SLL,688.72,0.1617
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3600.0,0.8455
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3400.0,0.7985
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,8444.44,1.9832
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,20000.0,4.697
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,20192.31,4.7422
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,oil and fats,Oil (palm),KG,actual,Retail,SLL,13333.33,3.1314
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,6400.0,1.5031
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,6200.0,1.4561
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,4000.0,0.9394
2013-01-15,North Western,Kambia,Kambia,9.116666793823242,-12.916666984558105,vegetables and fruits,Peppers (green),KG,actual,Retail,SLL,20000.0,4.697
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,cereals and tubers,Cassava,KG,actual,Retail,SLL,1579.49,0.3709
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3600.0,0.8455
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3350.0,0.7868
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,7750.0,1.8201
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,30000.0,7.0456
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,oil and fats,Oil (palm),KG,actual,Retail,SLL,6175.12,1.4502
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,4142.86,0.973
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,pulses and nuts,Groundnuts (shelled),KG,actual,Retail,SLL,4940.97,1.1604
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,pulses and nuts,Pigeon peas,KG,actual,Retail,SLL,3681.06,0.8645
2013-01-15,Northern,Koinadugu,Koinadugu,9.5168769,-11.36363,vegetables and fruits,Peppers (green),KG,actual,Retail,SLL,20000.0,4.697
2013-01-15,Northern,Tonkolili,Tonkolili,8.9804274,-11.7947560999999,cereals and tubers,Cassava,KG,actual,Retail,SLL,1852.38,0.435
2013-01-15,Northern,Tonkolili,Tonkolili,8.9804274,-11.7947560999999,cereals and tubers,Rice (imported),KG,actual,Retail,SLL,3233.33,0.7594
2013-01-15,Northern,Tonkolili,Tonkolili,8.9804274,-11.7947560999999,cereals and tubers,Rice (local),KG,actual,Retail,SLL,3466.67,0.8142
2013-01-15,Northern,Tonkolili,Tonkolili,8.9804274,-11.7947560999999,"meat, fish and eggs",Fish (bonga),KG,actual,Retail,SLL,73333.34,17.2225
2013-01-15,Northern,Tonkolili,Tonkolili,8.9804274,-11.7947560999999,"meat, fish and eggs",Meat (beef),KG,actual,Retail,SLL,22800.0,5.3546
2013-01-15,Northern,Tonkolili,Tonkolili,8.9804274,-11.7947560999999,miscellaneous food,"Chili (red, dry raw)",KG,actual,Retail,SLL,10000.0,2.3485
2013-01-15,Northern,Tonkolili,Tonkolili,8.9804274,-11.7947560999999,oil and fats,Oil (palm),KG,actual,Retail,SLL,9166.67,2.1528
2013-01-15,Northern,Tonkolili,Tonkolili,8.9804274,-11.7947560999999,pulses and nuts,Beans (fava),KG,actual,Retail,SLL,3000.0,0.7046
