date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2005-01-15,AHUACHAPAN,AHUACHAPAN,Ahuachapan,13.926393508911133,-89.84112548828125,cereals and tubers,Maize (white),45 KG,actual,Wholesale,USD,12.17,12.1675
2005-01-15,AHUACHAPAN,AHUACHAPAN,Ahuachapan,13.926393508911133,-89.84112548828125,cereals and tubers,Rice,45 KG,actual,Wholesale,USD,24.43,24.4275
2005-01-15,AHUACHAPAN,AHUACHAPAN,Ahuachapan,13.926393508911133,-89.84112548828125,pulses and nuts,Beans (red),45 KG,actual,Wholesale,USD,37.0,37.0
2005-01-15,AHUACHAPAN,AHUACHAPAN,Ahuachapan,13.926393508911133,-89.84112548828125,pulses and nuts,Beans (silk red),45 KG,actual,Wholesale,USD,38.17,38.1675
2005-01-15,CABANAS,SENSUNTEPEQUE,Sensuntepeque,13.866667,-88.633333,cereals and tubers,Maize (white),45 KG,actual,Wholesale,USD,11.41,11.415
2005-01-15,CABANAS,SENSUNTEPEQUE,Sensuntepeque,13.866667,-88.633333,cereals and tubers,Rice,45 KG,actual,Wholesale,USD,25.39,25.3875
2005-01-15,CABANAS,SENSUNTEPEQUE,Sensuntepeque,13.866667,-88.633333,pulses and nuts,Beans (red),45 KG,actual,Wholesale,USD,39.0,39.0
2005-01-15,CABANAS,SENSUNTEPEQUE,Sensuntepeque,13.866667,-88.633333,pulses and nuts,Beans (silk red),45 KG,actual,Wholesale,USD,39.58,39.58
2005-01-15,CUSCATLAN,COJUTEPEQUE,Cojutepeque,13.716667,-88.933333,cereals and tubers,Maize (white),45 KG,actual,Wholesale,USD,13.0,13.0
2005-01-15,CUSCATLAN,COJUTEPEQUE,Cojutepeque,13.716667,-88.933333,cereals and tubers,Rice,45 KG,actual,Wholesale,USD,23.71,23.715
2005-01-15,CUSCATLAN,COJUTEPEQUE,Cojutepeque,13.716667,-88.933333,pulses and nuts,Beans (red),45 KG,actual,Wholesale,USD,42.17,42.17
2005-01-15,CUSCATLAN,COJUTEPEQUE,Cojutepeque,13.716667,-88.933333,pulses and nuts,Beans (silk red),45 KG,actual,Wholesale,USD,43.83,43.8325
2005-01-15,LA PAZ,ZACATECOLUCA,Zacatecoluca,13.5,-88.866667,cereals and tubers,Maize (white),45 KG,actual,Wholesale,USD,11.95,11.9525
2005-01-15,LA PAZ,ZACATECOLUCA,Zacatecoluca,13.5,-88.866667,cereals and tubers,Rice,45 KG,actual,Wholesale,USD,25.31,25.3075
2005-01-15,LA PAZ,ZACATECOLUCA,Zacatecoluca,13.5,-88.866667,pulses and nuts,Beans (red),45 KG,actual,Wholesale,USD,40.58,40.58
2005-01-15,LA PAZ,ZACATECOLUCA,Zacatecoluca,13.5,-88.866667,pulses and nuts,Beans (silk red),45 KG,actual,Wholesale,USD,41.52,41.5175
2005-01-15,MORAZAN,SAN FRANCISCO GOTERA,San Francisco Gotera,13.7,-88.1,cereals and tubers,Maize (white),45 KG,actual,Wholesale,USD,11.75,11.75
2005-01-15,MORAZAN,SAN FRANCISCO GOTERA,San Francisco Gotera,13.7,-88.1,cereals and tubers,Rice,45 KG,actual,Wholesale,USD,24.75,24.75
2005-01-15,MORAZAN,SAN FRANCISCO GOTERA,San Francisco Gotera,13.7,-88.1,pulses and nuts,Beans (red),45 KG,actual,Wholesale,USD,40.0,40.0
2005-01-15,MORAZAN,SAN FRANCISCO GOTERA,San Francisco Gotera,13.7,-88.1,pulses and nuts,Beans (silk red),45 KG,actual,Wholesale,USD,43.62,43.625
2005-01-15,SAN MIGUEL,SAN MIGUEL,San Miguel,13.4833333,-88.1833333,cereals and tubers,Maize (white),45 KG,actual,Wholesale,USD,10.88,10.875
2005-01-15,SAN MIGUEL,SAN MIGUEL,San Miguel,13.4833333,-88.1833333,cereals and tubers,Rice,45 KG,actual,Wholesale,USD,24.5,24.5
2005-01-15,SAN MIGUEL,SAN MIGUEL,San Miguel,13.4833333,-88.1833333,pulses and nuts,Beans (red),45 KG,actual,Wholesale,USD,38.13,38.13
2005-01-15,SAN MIGUEL,SAN MIGUEL,San Miguel,13.4833333,-88.1833333,pulses and nuts,Beans (silk red),45 KG,actual,Wholesale,USD,40.75,40.75
