date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2004-04-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,8.7386
2004-05-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,8.5912
2004-06-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,8.8055
2004-07-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,9.3801
2004-08-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,8.9072
2004-09-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,8.8872
2004-10-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,8.8872
2004-11-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,9.4572
2004-12-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.5,10.0701
2005-01-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,8.6433
2005-02-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,8.2919
2005-03-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,8.4459
2005-04-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,7.9491
2005-05-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,7.8155
2005-06-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,7.3206
2005-07-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,7.5873
2005-08-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,7.776
2005-09-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,7.8616
2005-10-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,7.6662
2005-11-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,50.0,7.3746
2005-12-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,8.9623
2006-01-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,9.1733
2006-02-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,9.375
2006-03-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,9.2084
2006-04-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,9.227
2006-05-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,9.0476
2006-06-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,8.3824
2006-07-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,8.1113
2006-08-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,8.3578
2006-09-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,7.6716
2006-10-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,7.4876
2006-11-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,7.8621
2006-12-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,8.1897
2007-01-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,7.9167
2007-02-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,7.9498
2007-03-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,7.6819
2007-04-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,7.9498
2007-05-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,57.0,8.2014
2007-06-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,71.4,9.9582
2007-07-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,71.4,10.0559
2007-08-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,89.2,12.1031
2007-09-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,85.65,12.2313
2007-10-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,85.65,12.6141
2007-11-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,85.65,12.8027
2007-12-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,85.65,12.6394
2008-01-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,100.0,14.6413
2008-01-15,,,National Average,,,cereals and tubers,Maize meal,KG,actual,Retail,SZL,4.43,0.649
2008-01-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,SZL,4.03,0.59
2008-01-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,SZL,6.94,1.0165
2008-02-15,,,National Average,,,cereals and tubers,Maize (white),50 KG,actual,Wholesale,SZL,100.0,13.0208
2008-02-15,,,National Average,,,cereals and tubers,Maize meal,KG,actual,Retail,SZL,4.43,0.5772
2008-02-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,SZL,4.03,0.5247
2008-02-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,SZL,7.3,0.9505
