date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2000-01-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.45,0.1454
2000-01-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,5.28,0.1409
2000-01-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,7.59,0.2025
2000-02-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.0,0.1333
2000-02-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.72,0.1258
2000-02-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,7.65,0.2039
2000-03-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,4.95,0.1301
2000-03-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,5.43,0.1427
2000-03-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,7.14,0.1878
2000-04-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.4,0.1424
2000-04-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,5.46,0.144
2000-04-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.75,0.178
2000-05-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.45,0.1388
2000-05-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,5.12,0.1305
2000-05-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.45,0.1641
2000-06-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.25,0.1346
2000-06-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.42,0.1133
2000-06-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.43,0.1648
2000-07-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.25,0.1304
2000-07-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.25,0.1056
2000-07-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.4,0.1591
2000-08-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.2,0.1274
2000-08-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.0,0.098
2000-08-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.51,0.1594
2000-09-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.0,0.1192
2000-09-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.13,0.0985
2000-09-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.47,0.1542
2000-10-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.0,0.1161
2000-10-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.54,0.1055
2000-10-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,7.0,0.1626
2000-11-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.05,0.1156
2000-11-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.5,0.103
2000-11-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.91,0.1582
2000-12-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.3,0.1222
2000-12-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.67,0.1076
2000-12-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.81,0.1569
2001-01-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.4,0.1244
2001-01-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.55,0.1049
2001-01-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Rice,KG,actual,Wholesale,THB,6.83,0.1574
2001-02-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Cassava flour,KG,actual,Wholesale,THB,5.45,0.1287
2001-02-15,Bangkok,Bangkok Yai,Bangkok,13.723,100.476,cereals and tubers,Maize,KG,actual,Wholesale,THB,4.29,0.1014
