date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2008-04-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.25,0.25
2008-04-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.6,0.6
2008-04-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.6,0.6
2008-05-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.25,0.25
2008-05-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.6,0.6
2008-05-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.6,0.6
2008-06-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.3,0.3
2008-06-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.75,0.75
2008-06-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.75,0.75
2008-07-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.3,0.3
2008-07-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.75,0.75
2008-07-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.75,0.75
2008-08-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.3,0.3
2008-08-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.75,0.75
2008-08-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.7,0.7
2008-09-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.75,0.75
2008-09-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.75,0.75
2008-10-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.3,0.3
2008-10-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.75,0.75
2008-10-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.6,0.6
2008-11-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.45,0.45
2008-11-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.75,0.75
2008-11-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.6,0.6
2008-12-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.45,0.45
2008-12-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,1.0,1.0
2008-12-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.6,0.6
2009-01-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.45,0.45
2009-01-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,1.0,1.0
2009-01-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.75,0.75
2009-02-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.45,0.45
2009-02-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.75,0.75
2009-03-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.3,0.3
2009-03-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.6,0.6
2009-03-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.75,0.75
2009-04-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.4,0.4
2009-04-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.75,0.75
2009-04-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.9,0.9
2009-05-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.4,0.4
2009-05-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.75,0.75
2009-06-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.3,0.3
2009-06-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,"Rice (white, local)",KG,actual,Retail,USD,0.73,0.73
2009-06-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,pulses and nuts,Soybeans,KG,actual,Retail,USD,0.75,0.75
2009-07-15,Bobonaro,Maliana,Bobonaro,-8.991667,125.219722,cereals and tubers,Maize,KG,actual,Retail,USD,0.32,0.32
