date,usdprice
2020-01-15,1.2038
2020-01-15,1.1598
2020-01-15,1.1515
2020-01-15,1.2354
2020-01-15,1.1457
2020-01-15,1.1694
2020-01-15,1.1445
2020-01-15,1.1677
2020-01-15,1.1083
2020-01-15,1.1914
2020-01-15,1.1627
2020-01-15,1.2433
2020-01-15,1.2026
2020-01-15,1.12
2020-01-15,1.1785
2020-01-15,1.374
2020-01-15,1.2333
2020-01-15,1.1507
2020-01-15,1.1511
2020-01-15,1.0086
2020-01-15,1.0384
2020-01-15,1.0086
2020-01-15,0.984
2020-01-15,0.9352
2020-01-15,1.0807
2020-01-15,1.259
2020-01-15,1.3435
2020-01-15,1.4611
2020-01-15,1.3458
2020-01-15,1.4843
2020-01-15,1.3695
2020-01-15,1.6644
2020-01-15,1.4249
2020-01-15,1.4345
2020-01-15,1.0306
2020-01-15,0.8646
2020-01-15,0.8591
2020-01-15,1.2906
2020-01-15,0.9173
2020-01-15,1.2209
2020-01-15,0.941
2020-01-15,0.9565
2020-01-15,1.5726
2020-02-15,1.5336
2020-02-15,1.312
2020-02-15,1.5631
2020-02-15,1.4327
2020-02-15,1.6807
2020-02-15,1.3519
2020-02-15,1.1373
2020-02-15,1.1223
2020-02-15,1.1203
2020-02-15,1.2638
2020-02-15,1.1252
2020-02-15,1.0682
2020-02-15,1.1947
2020-02-15,1.1037
2020-02-15,1.0892
2020-02-15,1.2048
2020-02-15,1.1927
2020-02-15,1.1983
2020-02-15,1.09
2020-02-15,1.4647
2020-02-15,1.0932
2020-02-15,1.4827
2020-02-15,1.2929
2020-02-15,0.9503
2020-02-15,1.0737
2020-02-15,0.9108
2020-02-15,1.0021
2020-02-15,0.8536
2020-02-15,1.3134
2020-02-15,1.0178
2020-02-15,0.8779
2020-02-15,0.9266
2020-02-15,0.975
2020-02-15,0.9657
2020-02-15,0.8876
2020-02-15,1.2131
2020-02-15,1.0156
2020-02-15,1.0388
2020-02-15,0.9777
2020-02-15,1.3746
2020-02-15,1.1167
2020-02-15,1.3463
2020-02-15,1.1664
2020-02-15,1.1361
2020-03-15,1.2615
2020-03-15,1.1701
2020-03-15,1.1049
2020-03-15,1.1754
2020-03-15,1.2082
2020-03-15,1.0478
2020-03-15,1.1777
2020-03-15,1.0836
2020-03-15,1.1327
2020-03-15,1.0562
2020-03-15,1.3125
2020-03-15,1.1301
2020-03-15,1.1084
