date,usdprice
2020-01-15,0.8248
2020-01-15,0.7846
2020-01-15,0.7924
2020-01-15,0.8858
2020-01-15,0.7733
2020-01-15,0.9286
2020-01-15,1.032
2020-01-15,1.032
2020-01-15,0.814
2020-01-15,0.8024
2020-01-15,0.8883
2020-01-15,0.846
2020-01-15,0.8468
2020-01-15,0.9132
2020-01-15,0.9288
2020-01-15,1.012
2020-01-15,0.8132
2020-01-15,0.8223
2020-01-15,0.7223
2020-01-15,0.8846
2020-01-15,0.8344
2020-01-15,0.7983
2020-01-15,0.8302
2020-01-15,0.8381
2020-01-15,1.0279
2020-01-15,1.2469
2020-01-15,1.2491
2020-01-15,1.2404
2020-01-15,1.133
2020-01-15,1.1164
2020-01-15,1.323
2020-01-15,1.0003
2020-01-15,1.2602
2020-01-15,1.2309
2020-01-15,1.1168
2020-01-15,0.9101
2020-01-15,1.0797
2020-01-15,1.1164
2020-01-15,1.0668
2020-01-15,1.0916
2020-01-15,1.0429
2020-01-15,1.2248
2020-01-15,1.0431
2020-01-15,1.2404
2020-01-15,1.1908
2020-01-15,1.2404
2020-01-15,1.133
2020-01-15,1.0296
2020-01-15,1.2404
2020-01-15,1.0684
2020-01-15,1.2264
2020-01-15,1.2404
2020-02-15,0.6396
2020-02-15,1.2219
2020-02-15,1.2219
2020-02-15,1.0142
2020-02-15,1.0997
2020-02-15,1.2219
2020-02-15,1.0142
2020-02-15,1.0997
2020-02-15,1.0589
2020-02-15,1.2219
2020-02-15,1.1242
2020-02-15,1.2219
2020-02-15,1.0362
2020-02-15,1.2309
2020-02-15,1.1132
2020-02-15,0.9292
2020-02-15,0.9292
2020-02-15,0.7807
2020-02-15,0.6145
2020-02-15,0.6364
2020-02-15,0.6202
2020-02-15,0.8094
2020-02-15,0.6691
2020-02-15,0.6311
2020-02-15,0.6081
2020-02-15,0.5943
2020-02-15,0.7924
2020-02-15,0.6728
2020-02-15,0.6335
2020-02-15,0.7415
2020-02-15,0.5737
2020-02-15,0.7067
2020-02-15,0.6343
2020-02-15,0.5907
2020-02-15,1.0324
2020-02-15,1.2521
2020-02-15,0.5838
2020-02-15,1.0478
2020-02-15,1.09
2020-02-15,1.0997
2020-02-15,1.2219
2020-02-15,1.1811
2020-02-15,1.2219
2020-02-15,1.2219
2020-02-15,1.2219
2020-02-15,1.2219
2020-02-15,1.0753
2020-02-15,1.1608
2020-02-15,1.0997
2020-02-15,0.952
2020-02-15,1.2275
2020-02-15,1.0713
2020-02-15,1.3115
2020-02-15,1.1673
2020-02-15,1.1795
2020-02-15,1.2337
2020-02-15,1.2389
2020-02-15,0.7148
2020-03-15,1.1514
2020-03-15,1.1855
2020-03-15,0.9631
2020-03-15,0.9462
2020-03-15,0.9322
2020-03-15,1.1916
2020-03-15,1.1787
2020-03-15,0.9309
2020-03-15,1.1199
2020-03-15,1.0057
2020-03-15,1.0959
2020-03-15,0.9916
2020-03-15,1.0823
2020-03-15,0.9933
2020-03-15,0.9773
2020-03-15,1.4671
2020-03-15,1.4671
2020-03-15,1.5893
2020-03-15,1.7116
2020-03-15,1.3448
2020-03-15,1.9561
2020-03-15,1.1003
2020-03-15,1.4671
2020-03-15,1.2226
2020-03-15,1.1248
2020-03-15,1.1003
2020-03-15,1.4671
2020-03-15,1.5893
2020-03-15,1.3448
2020-03-15,1.4671
2020-03-15,1.1003
2020-03-15,1.2634
2020-03-15,1.5649
2020-03-15,1.4671
2020-03-15,1.7116
2020-03-15,1.9561
2020-03-15,1.1817
2020-03-15,1.5893
2020-03-15,1.3368
2020-03-15,1.8338
2020-03-15,1.3448
2020-03-15,1.1003
2020-03-15,1.2226
2020-03-15,1.2226
2020-03-15,1.1248
2020-03-15,1.2634
2020-03-15,1.2226
2020-03-15,1.1003
2020-03-15,1.7116
2020-03-15,1.2226
2020-03-15,1.2145
2020-03-15,1.2226
2020-03-15,1.2226
2020-03-15,1.2226
2020-03-15,1.1614
2020-03-15,1.2226
2020-03-15,1.3448
2020-03-15,1.2226
2020-03-15,1.9561
2020-03-15,1.8747
2020-03-15,1.1656
2020-03-15,1.3448
2020-03-15,1.4671
2020-03-15,1.6382
2020-03-15,1.2306
2020-03-15,1.2334
2020-03-15,1.2769
2020-03-15,0.9889
2020-03-15,1.0324
2020-03-15,1.304
2020-03-15,1.2226
2020-03-15,1.4671
2020-03-15,1.304
2020-03-15,1.027
2020-03-15,1.3937
2020-03-15,1.9561
2020-03-15,1.2126
2020-03-15,1.0953
2020-03-15,1.2634
2020-03-15,1.6302
2020-03-15,1.2634
2020-03-15,1.2226
2020-03-15,1.4671
2020-03-15,1.1003
2020-03-15,1.3448
2020-03-15,1.7116
2020-03-15,1.1003
2020-03-15,1.0839
2020-03-15,1.8338
2020-03-15,1.2715
2020-03-15,1.4671
2020-03-15,1.0595
2020-03-15,1.4915
2020-03-15,1.3204
2020-03-15,1.4671
2020-03-15,1.7116
2020-03-15,1.5079
2020-03-15,1.4671
2020-03-15,1.7116
2020-03-15,1.2226
2020-03-15,1.2226
2020-03-15,1.0595
2020-03-15,1.0713
2020-03-15,1.0985
2020-03-15,1.9561
2020-03-15,1.4262
2020-03-15,1.5485
2020-03-15,1.9317
2020-03-15,1.2226
2020-03-15,1.5485
2020-03-15,1.7524
2020-03-15,1.5893
2020-03-15,1.1817
2020-03-15,1.4875
2020-03-15,1.2226
2020-03-15,0.6266
2020-03-15,0.5599
2020-03-15,1.5103
2020-03-15,0.8559
2020-03-15,0.5203
2020-03-15,0.5245
2020-03-15,1.0528
2020-03-15,1.2226
2020-03-15,1.4671
2020-03-15,1.1614
2020-03-15,1.6709
2020-03-15,1.9561
2020-03-15,1.3448
2020-03-15,1.8747
2020-03-15,1.304
2020-03-15,1.4262
2020-03-15,1.4426
2020-03-15,1.8747
2020-03-15,1.5282
2020-03-15,1.2348
2020-03-15,1.3652
2020-03-15,0.5058
2020-03-15,1.0069
2020-03-15,0.7496
2020-03-15,0.9062
2020-03-15,0.9062
2020-03-15,0.9062
2020-03-15,1.0069
2020-03-15,0.6467
2020-03-15,0.5489
2020-03-15,0.5492
2020-03-15,0.526
2020-03-15,0.5313
2020-03-15,0.5283
2020-03-15,0.582
2020-03-15,0.5565
2020-03-15,1.0069
2020-03-15,1.6302
2020-04-15,0.5828
2020-04-15,0.5901
2020-04-15,0.8985
2020-04-15,0.9423
2020-04-15,1.1481
2020-04-15,0.9208
