date,usdprice
2020-01-15,2.827
2020-01-15,2.6008
2020-01-15,1.4389
2020-01-15,2.7289
2020-01-15,2.4809
2020-01-15,1.7986
2020-01-15,1.7366
2020-01-15,2.4809
2020-01-15,1.1164
2020-01-15,2.8116
2020-01-15,3.3924
2020-01-15,4.2405
2020-01-15,2.5443
2020-01-15,3.6751
2020-01-15,2.827
2020-01-15,2.3154
2020-01-15,5.6539
2020-01-15,2.3181
2020-01-15,2.9449
2020-01-15,3.2657
2020-01-15,4.2182
2020-01-15,4.6243
2020-01-15,4.3353
2020-01-15,5.3337
2020-01-15,4.6243
2020-01-15,2.8902
2020-01-15,4.2197
2020-01-15,4.3353
2020-01-15,3.9499
2020-01-15,4.6025
2020-01-15,4.9508
2020-01-15,4.3933
2020-01-15,3.8649
2020-01-15,4.6851
2020-01-15,4.222
2020-01-15,4.6676
2020-01-15,3.2657
2020-01-15,3.5305
2020-01-15,3.0891
2020-01-15,3.5305
2020-01-15,4.128
2020-01-15,2.4554
2020-01-15,2.5266
2020-01-15,1.7793
2020-01-15,2.7402
2020-01-15,1.6014
2020-01-15,1.7081
2020-01-15,2.8825
2020-01-15,5.2647
2020-01-15,1.2455
2020-01-15,1.8861
2020-01-15,3.1315
2020-01-15,1.6014
2020-01-15,2.8113
2020-01-15,1.9928
2020-01-15,4.1841
2020-01-15,4.1833
2020-01-15,3.0891
2020-01-15,1.8861
2020-01-15,3.319
2020-01-15,3.0328
2020-01-15,2.8244
2020-01-15,2.1326
2020-01-15,1.8127
2020-01-15,2.6657
2020-01-15,1.5994
2020-01-15,1.7594
2020-01-15,1.9193
2020-01-15,3.1792
2020-01-15,3.7572
2020-01-15,1.9193
2020-01-15,3.6127
2020-01-15,1.5283
2020-01-15,1.475
2020-01-15,1.9193
2020-01-15,2.1326
2020-01-15,3.9344
2020-01-15,3.9344
2020-01-15,3.4168
2020-01-15,3.9344
2020-01-15,1.5728
2020-01-15,4.483
2020-01-15,1.9193
2020-01-15,1.706
2020-01-15,3.1774
2020-01-15,2.8244
2020-01-15,4.4131
2020-01-15,3.5305
2020-01-15,2.6478
2020-01-15,3.0829
2020-01-15,4.648
2020-01-15,5.58
2020-01-15,1.4395
2020-01-15,3.6238
2020-01-15,3.7274
2020-01-15,3.5203
2020-01-15,3.7274
2020-01-15,4.7536
2020-01-15,3.6238
2020-01-15,1.866
2020-01-15,2.1592
2020-01-15,2.5591
2020-01-15,3.7274
2020-01-15,3.7274
