date,usdprice
2020-01-15,3.258
2020-01-15,2.6064
2020-01-15,2.6064
2020-01-15,3.3666
2020-01-15,3.4752
2020-01-15,2.6064
2020-01-15,3.0408
2020-01-15,3.4752
2020-01-15,2.6064
2020-01-15,3.0408
2020-01-15,2.6064
2020-01-15,2.9322
2020-01-15,3.0408
2020-01-15,3.4752
2020-01-15,1.9077
2020-01-15,9.7366
2020-01-15,7.9703
2020-01-15,2.7693
2020-01-15,3.0408
2020-01-15,2.6064
2020-01-15,2.172
2020-01-15,10.3799
2020-01-15,8.1378
2020-01-15,1.6088
2020-01-15,2.0121
2020-01-15,10.2109
2020-01-15,4.9698
2020-01-15,4.1415
2020-01-15,4.1415
2020-01-15,2.6064
2020-01-15,4.6592
2020-01-15,5.1769
2020-01-15,3.9096
2020-01-15,2.6064
2020-01-15,3.4752
2020-01-15,2.8702
2020-01-15,3.4752
2020-01-15,3.3618
2020-01-15,3.4752
2020-01-15,4.4004
2020-01-15,0.3812
2020-01-15,3.0408
2020-01-15,2.8236
2020-01-15,10.6455
2020-01-15,2.8468
2020-01-15,14.7038
2020-01-15,2.1326
2020-01-15,2.6657
2020-01-15,4.6592
2020-01-15,4.6592
2020-01-15,4.6592
2020-01-15,4.4521
2020-01-15,4.6592
2020-01-15,4.1415
2020-01-15,4.6592
2020-01-15,2.6657
2020-01-15,2.6657
2020-01-15,2.5591
2020-01-15,2.6657
2020-01-15,2.6657
2020-01-15,14.4509
2020-01-15,3.5611
2020-01-15,15.1734
2020-01-15,3.4682
2020-01-15,3.4752
2020-01-15,3.0408
2020-01-15,2.6064
2020-01-15,3.0408
2020-01-15,3.4752
2020-01-15,4.344
2020-01-15,2.6064
2020-01-15,3.0408
2020-01-15,3.0408
2020-01-15,2.6064
2020-01-15,3.4752
2020-01-15,2.6657
2020-01-15,2.879
2020-01-15,2.879
2020-01-15,2.6657
2020-01-15,2.6657
2020-01-15,2.6657
2020-01-15,2.6657
2020-01-15,3.0408
2020-01-15,3.5305
2020-01-15,3.3539
2020-01-15,2.6478
2020-01-15,3.0009
2020-01-15,3.0891
2020-01-15,3.0009
2020-01-15,2.9126
2020-01-15,3.0891
2020-01-15,3.2205
2020-01-15,14.5592
2020-01-15,3.4682
2020-01-15,15.896
2020-01-15,6.1768
2020-01-15,3.2033
2020-01-15,6.6165
2020-01-15,3.4063
2020-01-15,15.3179
2020-01-15,4.0703
2020-01-15,11.3199
2020-01-15,15.896
2020-01-15,2.8244
2020-01-15,2.8244
2020-01-15,2.6478
2020-01-15,2.8244
2020-01-15,4.2268
2020-01-15,3.3251
2020-01-15,3.8558
2020-01-15,5.5429
2020-01-15,3.3316
2020-01-15,5.8577
2020-01-15,3.9846
2020-01-15,2.0693
2020-01-15,4.1908
2020-01-15,3.4594
2020-01-15,5.7755
2020-01-15,6.1695
2020-01-15,3.0644
2020-01-15,5.8577
2020-01-15,5.486
2020-01-15,3.1033
2020-01-15,2.6478
2020-01-15,3.2657
2020-01-15,5.7787
2020-01-15,11.5607
2020-01-15,4.3032
2020-01-15,14.1329
2020-01-15,6.7429
2020-01-15,6.6841
2020-01-15,2.9274
2020-01-15,3.1768
2020-01-15,3.892
2020-01-15,2.8347
2020-01-15,2.9586
2020-01-15,3.0462
2020-01-15,5.836
2020-01-15,2.7341
2020-01-15,2.4819
2020-01-15,3.0962
2020-01-15,3.4368
2020-01-15,3.0891
2020-01-15,3.9718
2020-01-15,5.2957
2020-01-15,2.6478
2020-01-15,3.3539
2020-01-15,2.4567
2020-01-15,8.4202
2020-01-15,5.9939
2020-01-15,5.809
2020-01-15,3.685
2020-01-15,14.4509
2020-01-15,15.578
2020-01-15,2.9624
2020-01-15,14.7605
2020-01-15,3.0255
2020-01-15,2.7178
2020-01-15,3.2061
2020-01-15,2.8621
2020-01-15,5.8356
2020-01-15,5.8096
2020-01-15,5.3015
2020-01-15,2.8322
2020-01-15,5.8577
2020-01-15,4.9678
2020-01-15,5.2328
2020-01-15,5.987
2020-01-15,3.0824
2020-01-15,5.6222
2020-01-15,8.4202
2020-01-15,2.5261
2020-01-15,13.4723
2020-01-15,4.395
2020-01-15,4.1496
2020-01-15,7.9155
2020-01-15,5.6539
2020-01-15,5.3712
2020-01-15,4.2405
2020-01-15,7.3501
2020-01-15,7.0674
2020-01-15,6.502
2020-01-15,3.3924
2020-01-15,4.2405
2020-01-15,7.3501
2020-01-15,4.5232
2020-01-15,1.8146
2020-01-15,3.9476
2020-01-15,4.4099
2020-01-15,4.4655
2020-01-15,3.6811
2020-01-15,3.748
2020-01-15,3.4742
2020-01-15,4.4101
2020-01-15,5.0885
2020-01-15,7.3501
2020-01-15,6.502
2020-01-15,4.5232
2020-01-15,2.9966
2020-01-15,6.2193
2020-01-15,6.2193
2020-01-15,5.0885
2020-01-15,4.755
2020-01-15,7.0674
2020-01-15,4.2405
2020-01-15,7.3501
2020-01-15,7.0674
2020-01-15,4.7118
2020-01-15,8.1982
2020-01-15,3.1097
2020-01-15,4.8058
2020-01-15,4.1274
2020-01-15,6.2193
2020-01-15,2.1251
2020-01-15,4.7136
2020-01-15,4.5896
2020-01-15,5.1376
2020-01-15,6.2193
2020-01-15,6.502
2020-01-15,4.8058
2020-01-15,4.0708
2020-01-15,7.9155
2020-01-15,7.3501
2020-01-15,6.2193
2020-01-15,4.755
2020-01-15,5.6539
2020-01-15,4.5232
2020-01-15,4.8058
2020-01-15,6.7847
2020-01-15,5.1758
2020-01-15,3.748
2020-01-15,4.105
2020-01-15,8.1982
2020-01-15,7.3501
2020-01-15,7.0674
2020-01-15,3.6751
2020-01-15,4.6824
2020-01-15,5.0432
2020-01-15,4.7136
2020-01-15,4.4655
2020-01-15,4.7962
2020-01-15,4.5481
2020-01-15,4.4655
2020-01-15,4.2175
2020-01-15,4.755
2020-01-15,4.4619
2020-01-15,2.0173
2020-01-15,4.6442
2020-01-15,4.2501
2020-01-15,4.1716
2020-01-15,4.271
2020-01-15,4.5202
2020-01-15,1.9915
2020-01-15,5.0432
2020-01-15,4.5748
2020-01-15,2.2836
2020-01-15,2.0266
2020-01-15,2.8673
2020-01-15,4.2405
2020-01-15,5.3712
2020-01-15,4.3228
2020-01-15,2.9471
2020-01-15,10.1042
2020-01-15,2.9471
2020-01-15,10.9463
2020-01-15,2.7366
2020-01-15,10.6305
2020-01-15,2.3682
2020-01-15,10.1042
2020-01-15,10.5253
2020-01-15,8.4202
2020-01-15,2.9471
2020-01-15,10.2095
2020-01-15,2.2381
2020-01-15,5.1148
2020-01-15,5.1667
2020-01-15,4.299
2020-01-15,2.1391
2020-01-15,5.0789
2020-01-15,4.8228
2020-01-15,4.3228
2020-01-15,7.5782
2020-01-15,9.2622
2020-01-15,10.3147
2020-01-15,8.4202
2020-01-15,2.5261
2020-01-15,9.2622
2020-01-15,5.1148
2020-01-15,4.611
2020-01-15,2.5207
2020-01-15,4.755
2020-01-15,4.8991
2020-01-15,1.9054
2020-01-15,4.755
2020-01-15,2.2351
2020-01-15,2.1703
2020-01-15,4.611
2020-01-15,1.9783
2020-01-15,4.611
2020-01-15,2.3055
2020-01-15,8.6018
2020-01-15,8.7116
2020-01-15,7.8697
2020-01-15,3.9846
2020-01-15,4.105
2020-01-15,4.105
2020-01-15,3.9265
2020-01-15,5.1758
2020-01-15,4.6404
2020-01-15,4.2835
2020-01-15,3.5695
2020-01-15,5.1758
2020-01-15,4.7297
2020-01-15,4.4051
2020-01-15,7.6328
2020-01-15,7.0674
2020-01-15,5.9366
2020-01-15,4.5232
2020-01-15,5.0885
2020-01-15,6.7847
2020-01-15,5.6539
2020-01-15,4.1942
2020-01-15,5.3712
2020-01-15,4.5512
2020-01-15,3.748
2020-01-15,8.4187
2020-01-15,2.2694
2020-01-15,2.2975
2020-01-15,8.0893
2020-01-15,8.3089
2020-01-15,2.5927
2020-01-15,2.2389
2020-01-15,5.1147
2020-01-15,4.2835
2020-01-15,4.2835
2020-01-15,3.2126
2020-01-15,4.1496
2020-01-15,4.4619
2020-01-15,4.105
2020-01-15,4.5512
2020-01-15,4.4619
2020-01-15,4.8189
2020-01-15,3.3911
2020-01-15,3.2126
2020-01-15,11.0054
2020-01-15,6.5886
