date,usdprice
2020-01-15,1.0099
2020-01-15,0.3719
2020-01-15,1.2043
2020-01-15,0.3516
2020-01-15,0.3757
2020-01-15,1.8065
2020-01-15,1.8065
2020-01-15,0.4151
2020-01-15,1.0423
2020-01-15,0.3811
2020-01-15,1.6058
2020-01-15,1.5556
2020-01-15,2.509
2020-01-15,2.0072
2020-01-15,1.4552
2020-01-15,0.3483
2020-01-15,0.3798
2020-01-15,1.4552
2020-01-15,1.0042
2020-01-15,1.0563
2020-01-15,0.8352
2020-01-15,0.3794
2020-01-15,0.3674
2020-01-15,0.3425
2020-01-15,2.1076
2020-01-15,0.9995
2020-01-15,1.1601
2020-01-15,1.2166
2020-01-15,1.3386
2020-01-15,1.1066
2020-01-15,1.1105
2020-01-15,0.9459
2020-01-15,1.0709
2020-01-15,1.4457
2020-01-15,1.3378
2020-01-15,1.0039
2020-01-15,0.6425
2020-01-15,1.0781
2020-01-15,1.2493
2020-01-15,0.2161
2020-01-15,0.2882
2020-01-15,0.2445
2020-01-15,1.2583
2020-01-15,0.8924
2020-01-15,0.9459
2020-01-15,1.2493
2020-01-15,1.0082
2020-01-15,1.0088
2020-01-15,2.5407
2020-01-15,0.5354
2020-01-15,1.0895
2020-01-15,1.0415
2020-01-15,1.3118
2020-01-15,0.9474
2020-01-15,0.3021
2020-01-15,1.308
2020-01-15,1.3564
2020-01-15,0.6792
2020-01-15,0.9417
2020-01-15,0.7496
2020-01-15,1.2585
2020-01-15,1.0709
2020-01-15,1.0709
2020-01-15,1.5171
2020-01-15,1.2493
2020-01-15,0.3445
2020-01-15,0.4068
2020-01-15,0.2882
2020-01-15,0.9816
2020-01-15,0.9638
2020-01-15,1.0187
2020-01-15,1.4857
2020-01-15,0.8553
2020-01-15,0.7655
2020-01-15,0.8978
2020-01-15,1.7069
2020-01-15,2.0449
2020-01-15,2.0876
2020-01-15,2.2182
2020-01-15,2.3219
2020-01-15,2.1021
2020-01-15,1.9973
2020-01-15,1.9461
2020-01-15,1.8912
2020-01-15,2.9307
2020-01-15,2.2889
2020-01-15,2.5598
2020-01-15,2.4549
2020-01-15,2.539
2020-01-15,2.9417
2020-01-15,2.3109
2020-01-15,2.5634
2020-01-15,2.5378
2020-01-15,1.6572
2020-01-15,2.2645
2020-01-15,2.1633
2020-01-15,2.6675
2020-01-15,2.6232
2020-01-15,2.8941
2020-01-15,1.9424
2020-01-15,1.9937
2020-01-15,2.306
2020-01-15,2.1706
2020-01-15,1.9217
2020-01-15,1.9766
2020-01-15,1.9461
2020-01-15,2.1791
2020-01-15,2.0986
2020-01-15,2.9106
2020-01-15,2.0229
2020-01-15,2.5586
2020-01-15,2.2377
2020-01-15,1.8472
2020-01-15,2.0742
2020-01-15,2.2914
2020-01-15,2.0864
2020-01-15,2.9771
2020-01-15,2.6443
2020-01-15,3.8921
2020-01-15,2.0461
2020-01-15,4.368
2020-01-15,2.1962
2020-01-15,3.0625
2020-01-15,2.3487
2020-01-15,2.999
2020-01-15,3.6908
2020-01-15,3.1381
2020-01-15,2.9283
2020-01-15,2.8978
2020-01-15,2.8334
2020-01-15,2.1474
2020-01-15,2.2206
2020-01-15,2.9624
2020-01-15,2.949
2020-01-15,2.7831
2020-01-15,2.7806
2020-01-15,2.7257
2020-01-15,1.9339
2020-01-15,1.9827
2020-01-15,2.4524
2020-01-15,2.5781
